location,Year_since_logging,latitude,longitude,RETN_m2,RETN_perimeter_m,Veg_cat,Dist_near_forest
AM-429-NW,6,56.902747,-111.924749,0,0,Pine,111
BG-6-94,6,56.249027,-110.868299,0,0,Deciduous,171
FMX-2-18-2,3,55.45094,-114.76472,0,0,Mixedwood,109
H22-CC-0,9,59.237829,-118.519178,0,0,Deciduous,41
H22-CC-10,5,58.59415,-118.85868,1073.92,151.53,Mixedwood,95
H22-CC-11,5,58.597436,-118.859945,0,0,Mixedwood,100
H22-CC-113,18,54.644332,-119.80539,0,0,Spruce,77
H22-CC-114,18,54.64646,-119.80111,0,0,Spruce,55
H22-CC-119,18,54.65072,-119.82376,0,0,Spruce,241
H22-CC-121,17,54.6496,-119.82829,0,0,Spruce,257
H22-CC-123,9,54.53807,-119.74437,0,0,Spruce,142
H22-CC-125,11,54.553336,-119.73752,405.81,83.25,Spruce,132
H22-CC-128,11,54.55799,-119.75203,0,0,Spruce,201
H22-CC-129,11,54.561676,-119.759242,0,0,Spruce,101
H22-CC-13,17,58.59399,-118.85318,0,0,Mixedwood,123
H22-CC-131,11,54.55966,-119.7706,0,0,Spruce,105
H22-CC-15,5,58.597009,-118.865571,0,0,Mixedwood,180
H22-CC-23,12,56.233167,-119.140203,0,0,Deciduous,40
H22-CC-256,5,58.626924,-118.917793,0,0,Mixedwood,98
H22-CC-257,5,58.6298,-118.92246,0,0,Mixedwood,231
H22-CC-26,13,56.237211,-119.091618,0,0,Spruce,273
H22-CC-260,5,58.6188,-118.91599,0,0,Mixedwood,120
H22-CC-269,3,59.256703,-118.665268,0,0,Pine,137
H22-CC-270,14,59.26004,-118.668368,0,0,Pine,132
H22-CC-275,13,58.556641,-118.40084,0,0,Deciduous,539
H22-CC-277,13,58.56104,-118.3924,0,0,Deciduous,624
H22-CC-278,13,58.5623,-118.42826,0,0,Mixedwood,257
H22-CC-30,13,56.224165,-119.083515,0,0,Deciduous,260
H22-CC-321,4,57.412799,-118.468809,0,0,Spruce,466
H22-CC-4,16,59.235857,-118.532852,0,0,Mixedwood,49
H22-CC-67,14,54.950011,-118.606243,0,0,Deciduous,171
H22-CC-72,13,54.919079,-118.645805,0,0,Mixedwood,170
H22-CC-74,13,54.90627,-118.63873,0,0,Mixedwood,127
H22-CC-77,13,54.87438,-118.665182,0,0,Deciduous,114
